username,password,firstName,lastName,email,phoneNumber,favoriteTeam
amuirhead28,W5snYu0Qbr,Aymer,Muirhead,amuirhead28@go.com,6221909373,Aston Villa
nwickendon29,RfNrSgTo,Nettie,Wickendon,nwickendon29@dyndns.org,3564298045,Antwerp
lmellmoth2a,65KtZ0ja,Lothario,Mellmoth,lmellmoth2a@harvard.edu,4363727150,Brescia
bnehlsen2b,am8TUuhp,Bellina,Nehlsen,bnehlsen2b@google.es,2986766957,Lille
cmurrey2c,8dW72xd2ixX,Carlye,Murrey,cmurrey2c@imageshack.us,1222851472,Everton
demons2d,H6v8Dnb4ijnI,Dodie,Emons,demons2d@icq.com,8589408887,SC Freiburg
lflower2e,pB35yyZJ70,Loreen,Flower,lflower2e@rakuten.co.jp,4586433987,Maritimo
mcluff2f,DlED9Y,Marylinda,Cluff,mcluff2f@yellowpages.com,2184474856,AZ
bshier2g,nbDKy0mvV,Bobbe,Shier,bshier2g@youku.com,8104269759,Real Sociedad
hskayman2h,t27AWNubcha,Harriett,Skayman,hskayman2h@slideshare.net,9702095410,Lazio
mhalsworth2i,npkEhlpLEol,Meredith,Halsworth,mhalsworth2i@cyberchimps.com,7584645176,Akhmat Grozny
nmerali2j,PeTElsrVi,Nanice,Merali,nmerali2j@comsenz.com,9136720798,Marseille
jwoolmer2k,UXQ20kso6,Josepha,Woolmer,jwoolmer2k@bizjournals.com,5461755159,Portimonense
afeavearyear2l,bfzmUMlr,Annabel,Feavearyear,afeavearyear2l@hp.com,6507545694,Heracles Almelo
bpurrington2m,EqUxizg,Barbette,Purrington,bpurrington2m@elegantthemes.com,7118816259,Rio Ave
htomasutti2n,4SpSxYNxx,Hayden,Tomasutti,htomasutti2n@sphinn.com,7003930265,Metz
jsamwyse2o,2wsZ6839uN,Johnna,Samwyse,jsamwyse2o@skyrock.com,5609783068,Arsenal Tula
rayerst2p,If9G2r,Ritchie,Ayerst,rayerst2p@opensource.org,5405210318,Mallorca
alouch2q,8hSrq6w,Anne,Louch,alouch2q@ehow.com,8631828101,Benfica
bpoulgreen2r,z9s8XXE0Oc,Bordie,Poulgreen,bpoulgreen2r@instagram.com,8048441821,Granada
dmorman2s,nTYDzZWqCqk,Dorena,Morman,dmorman2s@gravatar.com,1954515518,Valladolid
bdowers2t,MsP1Sp4eyQXC,Beret,Dowers,bdowers2t@sourceforge.net,2844302415,Gent
broscamp2u,EgNOPnC,Bjorn,Roscamp,broscamp2u@aol.com,5181720677,Mouscron
jberrey2v,6RUV27YSQP5,Julie,Berrey,jberrey2v@cbslocal.com,3336064001,Lecce
rsandeson2w,6tYKD2,Richmound,Sandeson,rsandeson2w@vinaora.com,1212500938,Parma
klambal2x,L0ZzpMZr2,Kareem,Lambal,klambal2x@weather.com,2618413149,Angers
astovine2y,o8F2hlnxd,Agneta,Stovine,astovine2y@mayoclinic.com,3395210768,Genk
eblewmen2z,ne031zcq6h7,Edeline,Blewmen,eblewmen2z@odnoklassniki.ru,8314634390,VfL Wolfsburg
baicheson30,vgt2Z0kJItz,Bennie,Aicheson,baicheson30@nymag.com,3681745877,Groningen
ejeacop31,bNPoJ8PdccR,Eugenie,Jeacop,ejeacop31@hud.gov,7656198535,Eibar
cbes32,XLcDepPDd,Charlie,Bes,cbes32@jalbum.net,8052374161,Norwich City
vcarlick33,bhM4sNZN30,Valene,Carlick,vcarlick33@chron.com,1574893388,Strasbourg
lzorener34,QTLcQxHcxU2,Leola,Zorener,lzorener34@noaa.gov,2347339031,Oostende
jgerran35,sZMyjXe77,Jay,Gerran,jgerran35@dedecms.com,2219251708,Roma
gbrydon36,7uvqH5yrX,Gilda,Brydon,gbrydon36@goo.ne.jp,1309520655,Krasnodar
vollerton37,puuDnM29J,Valera,Ollerton,vollerton37@smh.com.au,8498121506,PSV Eindhoven
iallmark38,nNeJRIMtS,Innis,Allmark,iallmark38@kickstarter.com,8589020950,FC Ural
btruckett39,5EyssQoaQsI,Bartel,Truckett,btruckett39@multiply.com,6485915283,Braga
tscholey3a,Kxz41PnSr8i,Teresa,Scholey,tscholey3a@google.nl,5114775699,Newcastle United
agrafom3b,v2TCS3q5t,Andra,Grafom,agrafom3b@nasa.gov,3191538040,Torino
mhedges3c,fVkznNUC7,Marijn,Hedges,mhedges3c@e-recht24.de,5403921082,Leganes
ahayles3d,GKantLSb,Ariel,Hayles,ahayles3d@hostgator.com,7223603713,Southampton
beayres3e,4xgoXW0,Beatriz,Eayres,beayres3e@shutterfly.com,6725435630,Toulouse
gicom3f,F28EMllqw3,Gwyneth,Icom,gicom3f@e-recht24.de,4881511015,Famalicao
swixey3g,6Rqo6Qdjb,Sybila,Wixey,swixey3g@twitpic.com,7877639936,Borussia Monchengladbach
tcansfield3h,YkrVfHyrB,Tobey,Cansfield,tcansfield3h@nba.com,8582404875,Real Betis
tcaley3i,Pb8pRcurlqzo,Trumann,Caley,tcaley3i@wunderground.com,9935841003,Saint-Etienne
acolnet3j,O9yBl6IEjJ,Ansell,Colnet,acolnet3j@typepad.com,9609979724,Santa Clara
rwoodcraft3k,TheFGc,Rolf,Woodcraft,rwoodcraft3k@cbsnews.com,5604729365,Atletico Madrid Madrid
nzuppa3l,zSrDGowzt,Naomi,Zuppa,nzuppa3l@clickbank.net,3283762050,CSKA Moscow
bsquibbes3m,C10gv4,Bekki,Squibbes,bsquibbes3m@nymag.com,1175839722,Bordeaux
eregina3n,uuj4Lnbj,Etta,Regina,eregina3n@drupal.org,4705047411,Espanyol
abodley3o,aCEkV0Nfa0J,Atlanta,Bodley,abodley3o@about.me,1265803713,Milan
cdomino3p,nMCUbIY,Celina,Domino,cdomino3p@va.gov,5591835367,Nimes
mstoffler3q,DFijaz,Marion,Stoffler,mstoffler3q@bbc.co.uk,1991240859,Vitoria de Setubal
pdahlborg3r,jzq1mlZTVPi,Panchito,Dahlborg,pdahlborg3r@naver.com,1472186982,Internazionale
rgreenhill3s,Yg16h5fR,Reggi,Greenhill,rgreenhill3s@arizona.edu,4841434931,Sassuolo
dholligan3t,7gjqibLeT9ag,Doug,Holligan,dholligan3t@devhub.com,1832376277,Levante
mpratley3u,ic4TnOV0,Markus,Pratley,mpratley3u@intel.com,1306775184,Gil Vicente
shulkes3v,H4Fjbaj4LUq,Sile,Hulkes,shulkes3v@liveinternet.ru,3339484390,Zulte Waregem
omcturley3w,1PqFNR61wW,Oliviero,McTurley,omcturley3w@virginia.edu,7888203803,Mechelen
eduffyn3x,0YwGAfTZnh,Ephrem,Duffyn,eduffyn3x@go.com,2562671823,Hertha BSC
fgipson3y,2d2gDVUZmpD,Fowler,Gipson,fgipson3y@wikimedia.org,5622372360,Sheffield United
gdegiovanni3z,EDxoc8mx,Griffith,De Giovanni,gdegiovanni3z@howstuffworks.com,4933118906,Krylia Sovetov
mblinman40,mL7glsf,Maggee,Blinman,mblinman40@statcounter.com,7602049541,Standard Liege
bkeneforde41,Rma25Pb0n,Bailey,Keneforde,bkeneforde41@fc2.com,4524854890,Juventus
owhewell42,KlKZwfB9P0,Orson,Whewell,owhewell42@adobe.com,4021892797,Rennes
llaidlow43,1Oyfei3erJpC,Lauren,Laidlow,llaidlow43@i2i.jp,3107778800,Arsenal
mubsdall44,ckmDxo4,Mommy,Ubsdall,mubsdall44@free.fr,6819409862,SPAL
wkearsley45,hohfBEYie,Warde,Kearsley,wkearsley45@angelfire.com,5462404795,Burnley
bsummersby46,nBG3dSNk0,Brook,Summersby,bsummersby46@baidu.com,9598398322,Eupen
ddimic47,JQMnOFfG5,Dougy,Dimic,ddimic47@mapy.cz,5503389723,Fortuna Sittard
whaney48,rDtFavtK,Wilhelm,Haney,whaney48@examiner.com,6714412447,FC Koln
jcusty49,6VDVIdCVWF,Jewel,Custy,jcusty49@barnesandnoble.com,6127761546,Willem II
wschoroder4a,CFjGuS6R,Wilmette,Schoroder,wschoroder4a@stanford.edu,7728619262,Kortrijk
trollinson4b,F6S2QjY,Tarra,Rollinson,trollinson4b@opensource.org,9686584406,Rostov
msnaden4c,qxR71ovgSo,Mariquilla,Snaden,msnaden4c@google.nl,2827828605,VVV-Venlo
jbenninger4d,c5JdsnJ,Janeczka,Benninger,jbenninger4d@timesonline.co.uk,7912188502,Cagliari
dmingaye4e,AGFlvI,Dana,Mingaye,dmingaye4e@stanford.edu,7777720386,Heerenveen
btremoulet4f,Hoenwjj,Barnaby,Tremoulet,btremoulet4f@opensource.org,2066188025,Sochi
skite4g,fYaf51k,Sheelah,Kite,skite4g@ehow.com,4779696110,Boavista
ecolley4h,q1iaNDUnIsAW,Evered,Colley,ecolley4h@dagondesign.com,4379776859,Vitoria de Guimaraes
tviney4i,2pgonyKtM4AH,Tallou,Viney,tviney4i@mail.ru,5227971120,Union Berlin
trubery4j,6u781DE,Tabby,Rubery,trubery4j@skyrock.com,9628355863,Bologna
jabbate4k,ZUpLbMjB2,Joanie,Abbate,jabbate4k@examiner.com,1392696917,Schalke 04
ldelacote4l,jZJlkk47Hhr,Lenci,Delacote,ldelacote4l@technorati.com,7613921892,Fiorentina
cpinkney4m,wWXvAJ,Chastity,Pinkney,cpinkney4m@quantcast.com,8096417514,Vitesse
lkinnerk4n,Lz45W22DpU,Louise,Kinnerk,lkinnerk4n@a8.net,6999163895,Anderlecht
bwellstood4o,rynQB2ggOv,Brigit,Wellstood,bwellstood4o@wired.com,4885704767,Manchester United
jwiddows4p,7U1LlJQE,Jeffry,Widdows,jwiddows4p@wordpress.org,2269055695,Aston Villa
bprimmer4q,ZjXz7b9k,Bret,Primmer,bprimmer4q@pen.io,1056022464,Antwerp
pscowen4r,ZsR111Ro86a,Pablo,Scowen,pscowen4r@imgur.com,8795671516,Brescia
jeltone4s,PS7aPjwvY,Jen,Eltone,jeltone4s@flavors.me,6155158978,Lille
tungerecht4t,qwJPrEVTm,Terrie,Ungerecht,tungerecht4t@utexas.edu,2664488006,Everton
sandriolli4u,SZywJYob,Sashenka,Andriolli,sandriolli4u@cnbc.com,6521435129,SC Freiburg
sheamus4v,xjSXsD9,Sylas,Heamus,sheamus4v@ted.com,5821309543,Maritimo
mlombardo4w,1yRYb5HI7N01,Marrilee,Lombardo,mlombardo4w@epa.gov,2874010809,AZ
smadeley4x,G1hk4HwFHRzt,Sibeal,Madeley,smadeley4x@npr.org,4598095235,Real Sociedad
gmontague4y,NqWCaulEsYdT,Gwyn,Montague,gmontague4y@desdev.cn,9252357197,Lazio
fgrainger4z,FEz7HxJDZ3tZ,Frieda,Grainger,fgrainger4z@mozilla.org,8713136362,Akhmat Grozny
fpolycote50,N5Zya41ro,Fitz,Polycote,fpolycote50@nsw.gov.au,6973112996,Marseille
skay51,DyRx29trSfPc,Sidonia,Kay,skay51@gnu.org,3385678124,Portimonense
eschwandermann52,5s4WOg,Eve,Schwandermann,eschwandermann52@kickstarter.com,7403990129,Lokomotiv Moscow
lwolfendell53,7qcikV,Laughton,Wolfendell,lwolfendell53@clickbank.net,3624192151,Sporting CP
jsorsbie54,pG9Go7v,Janos,Sorsbie,jsorsbie54@nymag.com,8268140462,Desportivo das Aves
awrigglesworth55,JI84Xa,Alie,Wrigglesworth,awrigglesworth55@joomla.org,8187796641,FC Augsburg
tpoplee56,9ag8TA1EfDUL,Tess,Poplee,tpoplee56@mozilla.org,2552228895,SC Paderborn
cclaypool57,m7G7dHN3wk6,Candida,Claypool,cclaypool57@gnu.org,7094180958,Villarreal
ghaydn58,cIDbE8UFmo,Gordan,Haydn,ghaydn58@intel.com,8281010814,Pacos de Ferreira
cwood59,EgJa4S,Cecilia,Wood,cwood59@oakley.com,6761519845,Ajax
lbartelet5a,OarUa3TOpj,Lindon,Bartelet,lbartelet5a@about.me,2201365412,PEC Zwolle
chollyer5b,Pi8Se04g9t,Cal,Hollyer,chollyer5b@ameblo.jp,6669227612,Osasuna
sennor5c,VM7VWwGb51,Stacee,Ennor,sennor5c@umich.edu,3188186934,Manchester City
ogravatt5d,4iGIoI,Odelia,Gravatt,ogravatt5d@nih.gov,8632430688,West Ham United
eslatter5e,3NOuaSDYP,Ernaline,Slatter,eslatter5e@narod.ru,9223422572,Lyon
pcrowson5f,vQml0MUu,Pier,Crowson,pcrowson5f@woothemes.com,3327890415,Brest
bhimpson5g,m8C6vP0GVxn9,Barby,Himpson,bhimpson5g@imageshack.us,9996999944,PSG
cealam5h,HKZrJnxMN6,Carissa,Ealam,cealam5h@army.mil,7476631562,Sampdoria
baspey5i,edCTBFR1JB,Brantley,Aspey,baspey5i@mozilla.org,6755112716,Montpellier
emcmarquis5j,ZiN7YvS9jU,Elnar,McMarquis,emcmarquis5j@dion.ne.jp,2473137418,Watford
dphippard5k,aCPLdytdecT4,Dame,Phippard,dphippard5k@biblegateway.com,7899016548,Twente
tfriskey5l,j1d9MJHbBzmF,Tod,Friskey,tfriskey5l@netscape.com,9112240104,Rubin Kazan
mblythin5m,w5ulCtGwqM,Marietta,Blythin,mblythin5m@indiegogo.com,4578686801,Sint-Truiden
scoen5n,wa8wSuIto,Sven,Coen,scoen5n@booking.com,2107401888,Crystal Palace
fsheffield5o,sfW0gFRo,Fredrick,Sheffield,fsheffield5o@qq.com,4983123017,Moreirense
sdowning5p,z6bIsHk,Shawn,Downing,sdowning5p@usnews.com,5142448905,Cercle Brugge
oredgrave5q,dRQDs9EgCEg,Orlan,Redgrave,oredgrave5q@gizmodo.com,3266231434,Athletic Bilbao Bilbao
cwarnes5r,3QrlFU,Carly,Warnes,cwarnes5r@sogou.com,1748191609,Mainz 05
tneissen5s,CbvBCSt,Tersina,Neissen,tneissen5s@imageshack.us,1818181899,Chelsea
efitzjohn5t,vQ63DgITRs,Elana,Fitzjohn,efitzjohn5t@hexun.com,2911644297,Reims
vhatry5u,NzF22XcT,Vitoria,Hatry,vhatry5u@oracle.com,8192736647,ADO Den Haag
mscott5v,pOB1oR6m7,Melina,Scott,mscott5v@noaa.gov,7334760973,Nice
cprendiville5w,J7I3B6uWAbLE,Crichton,Prendiville,cprendiville5w@china.com.cn,4889808565,Celta Vigo
hpothecary5x,eorhSUJ,Hammad,Pothecary,hpothecary5x@icq.com,1648470732,Club Brugge
ssavine5y,qRIGXSPXM,Sanford,Savine,ssavine5y@archive.org,6826631940,Bayer Leverkusen
rpennings5z,QTwKp9FfS8W,Rich,Pennings,rpennings5z@tuttocitta.it,9625816691,Bayern Munich
dbickle60,ibSvxpOMbz,Dag,Bickle,dbickle60@tmall.com,3538152088,Ufa
jforrestill61,i80zPCZQXk,Jodee,Forrestill,jforrestill61@shutterfly.com,2343097966,Alaves
cdepper62,wAxeOni,Cordy,Depper,cdepper62@wufoo.com,7609919282,Eintracht Frankfurt
ndelyth63,AVP44p1kAI,Nanci,Delyth,ndelyth63@naver.com,2257540456,Atalanta
eterron64,yLViCTm1tAdJ,Elbert,Terron,eterron64@scribd.com,5334877731,Utrecht
kmuat65,hJkRymtF6,Karia,Muat,kmuat65@ihg.com,3533996684,Dijon
ebeatey66,08TDDv5R,Ernaline,Beatey,ebeatey66@blogtalkradio.com,3478388897,TSG Hoffenheim
jsantora67,5p7Dz0rkCx,Joby,Santora,jsantora67@hhs.gov,2492678471,Tottenham Hotspur
frollin68,pqQtrSHH2,Freddy,Rollin,frollin68@a8.net,8207090801,Feyenoord
rtinton69,DPyYBhoVor0x,Rafaello,Tinton,rtinton69@merriam-webster.com,4247464267,Monaco
hcaldecot6a,M9zcjUhf5xO,Hobey,Caldecot,hcaldecot6a@pagesperso-orange.fr,1941386559,Spartak Moscow
mstandish6b,mxwrsa3gqj5,Maximilianus,Standish,mstandish6b@printfriendly.com,1156778492,Bournemouth
hseth6c,FoRHZSQ303R,Heather,Seth,hseth6c@trellian.com,7695114906,Liverpool
dfounds6d,h8PqL1HbcewP,Dynah,Founds,dfounds6d@histats.com,9986865625,Real Madrid
iscarfe6e,N6sthGhnxL,Ingunna,Scarfe,iscarfe6e@dailymail.co.uk,8024688124,Nantes
ahallyburton6f,5Cnyqy,Ami,Hallyburton,ahallyburton6f@wisc.edu,6221977777,Werder Bremen
amuselli6g,6zYYFRvvyPu,Adler,Muselli,amuselli6g@printfriendly.com,5682509278,Hellas Verona
omarkwelley6h,zR4pgkH3WHS,Oralie,Markwelley,omarkwelley6h@yelp.com,6059114141,Charleroi
bparzizek6i,vdXOCken,Bevvy,Parzizek,bparzizek6i@angelfire.com,2094334223,Leicester City
njoao6j,q68wM6Kg,Nathanil,Joao,njoao6j@multiply.com,4082907671,Zenit Saint Petersburg
klant6k,JpSGSC,Kaela,Lant,klant6k@google.com.hk,9981870165,Brighton & Hove Albion
kcarles6l,PXKlia,Kelly,Carles,kcarles6l@businessweek.com,9156765683,Napoli
grostern6m,RsnfcMUhzVwJ,Gallagher,Rostern,grostern6m@cafepress.com,7259568024,Sevilla Seville
gleese6n,moMn4bN,Gradeigh,Leese,gleese6n@alibaba.com,7411854250,Orenburg
amullender6o,h1weTZNgjr,Aldon,Mullender,amullender6o@cbc.ca,7961965635,Porto
dboskell6p,bDisPvf,Danit,Boskell,dboskell6p@furl.net,5195579153,RB Leipzig
cbullus6q,QTK0LXz1,Culley,Bullus,cbullus6q@alibaba.com,9627076779,Wolverhampton Wanderers
wleprovost6r,qwZsiI,Woodrow,Le Provost,wleprovost6r@blog.com,9649469081,Dynamo Moscow
sthewless6s,PrnbXsxH9r,Suzann,Thewless,sthewless6s@t.co,6562744721,Waasland-Beveren
mgladding6t,BWRCH8z,Michal,Gladding,mgladding6t@ft.com,6596410689,Fortuna Dosseldorf
tjozsa6u,uwNwqJFlJsK4,Tiffanie,Jozsa,tjozsa6u@bloglines.com,5932561451,Getafe
adavidsson6v,7UBcanIJY4EX,Aleece,Davidsson,adavidsson6v@java.com,5973665402,Tondela
abryns6w,Hn37oVHUTDnb,Alicia,Bryns,abryns6w@ovh.net,6673695470,Sparta Rotterdam
ghellwing6x,ZwWmj63wLS2u,Gratia,Hellwing,ghellwing6x@theatlantic.com,3228752295,Barcelona
apersse6y,EOUIMfl1095,Aimee,Persse,apersse6y@comcast.net,3352272746,Amiens
sdomesday6z,qv2v5R9sOwG,Shaylah,Domesday,sdomesday6z@springer.com,3124223762,Udinese
hheustice70,EGljIzoaD,Horacio,Heustice,hheustice70@nationalgeographic.com,1802662592,Borussia Dortmund
rspellessy71,SHczmxn,Rora,Spellessy,rspellessy71@discuz.net,5548251154,Belenenses SAD
dbortolomei72,OyJEG6td,Drusie,Bortolomei,dbortolomei72@google.cn,8704913870,Emmen
dharyngton73,Z7Xmxz9Suk,Delly,Haryngton,dharyngton73@fotki.com,7461182359,RKC Waalwijk
bsegeswoeth74,sR1I6FG,Benjamen,Segeswoeth,bsegeswoeth74@booking.com,4383525846,Valencia
adodson75,yKXmhSNEbwj0,Arlinda,Dodson,adodson75@hp.com,9785954152,Tambov
amartin76,IOkDTCSRIn,Atlante,Martin,amartin76@unc.edu,1317071873,Genoa
aranderson77,TUp7EtV,Aloise,Randerson,aranderson77@booking.com,3232717690,Heracles Almelo
lbridie78,HbQyYHf,Lizzy,Bridie,lbridie78@nydailynews.com,9241730297,Rio Ave
ttetlow79,pPGzm9,Tildie,Tetlow,ttetlow79@loc.gov,9488890197,Metz
acoultas7a,sl0TyLM4Umf,Amabelle,Coultas,acoultas7a@bbc.co.uk,3696372018,Arsenal Tula
aricard7b,xp7pb2m0mzq,Angelico,Ricard,aricard7b@soup.io,2103191002,Mallorca
